day,delta_gamma,converged,iters,gmv,lag_loss
10,0.0,True,5,-2.1601210551944178e-14,1.5594758358582903
10,0.02,True,5,-1.6229703110882043,1.506964381122766
10,-0.02,True,5,1.6164776754657466,1.8160453051375447
10,0.05,True,5,-4.068320256353391,1.8080536886550358
10,-0.05,True,5,4.027748406639269,2.585873197108012
10,0.1,True,5,-8.168061563620238,3.310600270114698
10,-0.1,True,5,8.005875977369705,4.902724881675851
10,0.2,True,5,-16.4250631585707,9.967160154467344
10,-0.2,True,5,15.77795329581574,13.441256287270354
11,0.0,True,5,0.0,1.3254802272894364
11,0.02,True,5,-1.71549216838241,1.2884306739741724
11,-0.02,True,5,1.7098827823603857,1.568171190751698
11,0.05,True,5,-4.297832459591309,1.6153636725148213
11,-0.05,True,5,4.262783375739414,2.3204343578148543
11,0.1,True,5,-8.620581622642165,3.1666797703325162
11,-0.1,True,5,8.480522091614178,4.617620637651509
11,0.2,True,5,-17.30002006553538,9.930991632462892
11,-0.2,True,5,16.741968597294804,13.15761854658579
12,0.0,True,6,0.0,2.4942474202939784
12,0.02,True,6,-1.5356631561107665,2.3478853482499673
12,-0.02,True,6,1.5226864714834092,2.859779249104936
12,0.05,True,6,-3.8620591714804076,2.5383696269537936
12,-0.05,True,6,3.7809925621791054,3.8193975711729506
12,0.1,True,5,-7.794851247118651,3.9432877115212923
12,-0.1,True,6,7.471122006358838,6.514613762218243
12,0.2,True,5,-15.829097732582774,10.763046236565488
12,-0.2,True,6,14.542717503034126,15.980883163375456
13,0.0,True,6,0.0,5.151826407667839
13,0.02,True,6,-1.3208213208352895,4.774910189852572
13,-0.02,True,5,1.3049469347496465,5.747826604256805
13,0.05,True,6,-3.3306516009245843,4.620791116181542
13,-0.05,True,5,3.231477483564352,7.051621823522037
13,0.1,True,6,-6.752015182841292,5.460038755931069
13,-0.1,True,5,6.355900244350732,10.31131330584847
13,0.2,True,6,-13.830550589483872,11.218459773762472
13,-0.2,True,6,12.255330993553423,20.839277881685014
14,0.0,True,5,0.0,3.218783365889359
14,0.02,True,5,-1.4616468466748307,3.0068707528077527
14,-0.02,True,5,1.4483457263720672,3.647110100382759
14,0.05,True,5,-3.677694530035908,3.0939131440814296
14,-0.05,True,5,3.5945956978526286,4.695722489777153
14,0.1,True,5,-7.428655368927656,4.313082197355885
14,-0.1,True,5,7.096733111707678,7.525352826172588
14,0.2,True,5,-15.109184393406862,10.71472413685539
14,-0.2,True,6,13.789016024503777,17.20854735954071
15,0.0,True,5,-3.4373662315536126e-14,2.9171566035060352
15,0.02,True,5,-1.552249888400695,2.7253892426465036
15,-0.02,True,5,1.5399488965080517,3.3272263741552672
15,0.05,True,5,-3.9020992558836944,2.8452788431945426
15,-0.05,True,5,3.825248822150015,4.352861112507554
15,0.1,True,5,-7.8696034489283235,4.122551033332477
15,-0.1,True,5,7.56264049408756,7.15903595310068
15,0.2,True,5,-15.953490731021487,10.626615967843811
15,-0.2,True,5,14.732614203907831,16.869135809224808
16,0.0,True,5,0.0,3.3337870458150225
16,0.02,True,5,-1.4860472103598958,3.1113073491176153
16,-0.02,True,5,1.4731081320180008,3.7705454579691393
16,0.05,True,5,-3.7380103243568734,3.1784591495378067
16,-0.05,True,5,3.6571746719628537,4.8278455538367995
16,0.1,True,5,-7.546976823571784,4.3535984866563044
16,-0.1,True,5,7.224113223459301,7.661604441543056
16,0.2,True,5,-15.336352421464284,10.625948337590946
16,-0.2,True,5,14.052512031188487,17.31615898986659
17,0.0,True,5,-2.0308093331680225e-14,1.5415555608558151
17,0.02,True,5,-1.6766814671042738,1.4842390806633787
17,-0.02,True,5,1.670158327499521,1.8040516337565158
17,0.05,True,5,-4.202493076461512,1.7800161384029072
17,-0.05,True,5,4.161733994498433,2.5850333978585196
17,0.1,True,5,-8.435425637330365,3.2777570392480317
17,-0.1,True,5,8.272539820703617,4.926915352117915
17,0.2,True,5,-16.951024060659297,9.930684921570709
17,-0.2,True,5,16.301884698772984,13.540101334506442
18,0.0,True,5,0.0,1.339783839034687
18,0.02,True,5,-1.6445751374789965,1.301586316939707
18,-0.02,True,5,1.6392694416708058,1.5757922084192946
18,0.05,True,5,-4.120117367732348,1.6122279360402134
18,-0.05,True,5,4.086962987862608,2.3032869220015906
18,0.1,True,5,-8.264316272789502,3.0982040037894762
18,-0.1,True,5,8.131787625181385,4.519863959057509
18,0.2,True,5,-16.5885703913789,9.595765414485491
18,-0.2,True,5,16.05987958496529,12.753566034335849
19,0.0,True,7,0.0,2.3592027427722617
19,0.02,True,6,-1.7169718337837883,2.225234618026044
19,-0.02,True,7,1.7054107423580618,2.7226972162795744
19,0.05,True,6,-4.312023118890002,2.45171094350484
19,-0.05,True,7,4.239804435769132,3.7005146390301986
19,0.1,True,6,-8.6812793787166,3.9545556130238273
19,-0.1,True,7,8.39294776418898,6.488873629284817
19,0.2,True,6,-17.529868438918747,11.047617468057952
19,-0.2,True,7,16.385144126702997,16.40822346762834
20,0.0,True,5,0.0,1.5262133328150946
20,0.02,True,5,-1.731929654188061,1.475573840777304
20,-0.02,True,5,1.7254682145360227,1.7892206991042323
20,0.05,True,5,-4.340270076789024,1.794057210543581
20,-0.05,True,5,4.299895339209241,2.585172416620853
20,0.1,True,5,-8.708977489297613,3.36022103684603
20,-0.1,True,5,8.547610832917142,4.992338745700906
20,0.2,True,5,-17.483881123778943,10.240041937388014
20,-0.2,True,5,16.840531423021027,13.90031531222145
21,0.0,True,6,0.0,3.0588296705718125
21,0.02,True,6,-1.5787438619015564,2.872477339694045
21,-0.02,True,6,1.5655434585223234,3.470921019165818
21,0.05,True,6,-3.9699246661281764,3.0144619053688473
21,-0.05,True,6,3.8874591655819275,4.513450424165637
21,0.1,True,6,-8.010163821420166,4.36568273868843
21,-0.1,True,6,7.680829667733412,7.384206650509072
21,0.2,True,5,-16.251047661681415,11.153133499318308
21,-0.2,True,7,14.942093621278351,17.353944385359274
22,0.0,True,6,-3.0396052421440387e-14,2.868929779433721
22,0.02,True,6,-1.5788516211908532,2.6845285842214284
22,-0.02,True,6,1.564388891274139,3.277534671989606
22,0.05,True,6,-3.9723801455992125,2.826480926316346
22,-0.05,True,6,3.8820323520567346,4.311976079583448
22,0.1,True,6,-8.021645210678194,4.169183555989824
22,-0.1,True,6,7.660885072107704,7.161433463554149
22,0.2,True,6,-16.294698456779287,10.901115208132978
22,-0.2,True,6,14.861669585156697,17.054894772725582
23,0.0,True,8,0.0,5.9384779888831725
23,0.02,True,8,-1.1970844430034244,5.483529661584034
23,-0.02,True,8,1.1755752886952224,6.603172429544956
23,0.05,True,8,-3.0316838727036646,5.195903642083763
23,-0.05,True,8,2.8973349892261373,7.991277379488966
23,0.1,True,8,-6.187745466409133,5.771902750782394
23,-0.1,True,8,5.651537131996541,11.336144607073274
23,0.2,True,7,-12.827808576955219,10.862196833617565
23,-0.2,True,8,10.701769843695578,21.78355531647675
24,0.0,True,6,0.0,2.7468685789045577
24,0.02,True,6,-1.5821991563918434,2.580199517844549
24,-0.02,True,6,1.5691233987773252,3.1433706108513046
24,0.05,True,5,-3.9781895789901514,2.758676580353127
24,-0.05,True,6,3.896496470612671,4.170856475297454
24,0.1,True,5,-8.024953816420378,4.186437814389022
24,-0.1,True,6,7.698614679469214,7.041071578301903
24,0.2,True,5,-16.270451614391586,11.165520717749635
24,-0.2,True,6,14.97198836729926,17.113940506720876
25,0.0,True,7,-1.2335333740085273e-14,6.986519984454175
25,0.02,True,7,-1.3803962070536833,6.39614548423328
25,-0.02,True,7,1.3548189576583032,7.839693890497226
25,0.05,True,6,-3.49719997925564,6.005867933427693
25,-0.05,True,7,3.3374585811309982,9.608689862405038
25,0.1,True,6,-7.141266748216388,6.681221970045525
25,-0.1,True,7,6.503958965312054,13.843946693884066
