tag,day,round,gamma,err,ratio
no noise,9,8,-0.3984375,0.01874528414134724,1.0108856629692633
no noise,9,9,-0.38671875,0.00702653414134724,1.0041109128719459
no noise,9,10,-0.380859375,0.0011671591413472404,1.0006853709504167
no noise,9,11,-0.3779296875,0.0017625283586527596,0.9989631251864752
no noise,9,12,-0.37939453125,0.0002976846086527596,0.9998250356034178
no noise,10,1,0.0,0.37307895195631524,0.6928692253966303
no noise,10,2,-1.5,1.1269210480436849,1.6723429053369097
no noise,10,3,-0.75,0.37692104804368476,1.2874949873004393
no noise,10,4,-0.375,0.0019210480436847588,1.0015555768129265
no noise,10,5,-0.1875,0.18557895195631524,0.8476837190165395
no noise,10,6,-0.28125,0.09182895195631524,0.9250368540211981
no noise,10,7,-0.328125,0.04495395195631524,0.963438369132447
no noise,10,8,-0.3515625,0.02151645195631524,0.9825372353798328
no noise,10,9,-0.36328125,0.009797701956315241,0.992057060594637
no noise,10,10,-0.369140625,0.003938326956315241,0.996809055804565
no noise,10,11,-0.3720703125,0.0010086394563152412,0.9991830097588558
no noise,10,12,-0.37353515625,0.0004562042936847588,1.0003694677946462
no noise,11,1,0.0,0.3466706848307338,0.7003275996885021
no noise,11,2,-1.5,1.153329315169266,1.7343343515120484
no noise,11,3,-0.75,0.4033293151692662,1.3256125485423376
no noise,11,4,-0.375,0.028329315169266178,1.0242018293432154
no noise,11,5,-0.1875,0.15917068483073382,0.8624561367288791
no noise,11,6,-0.28125,0.06542068483073382,0.9437115603151781
no noise,11,7,-0.328125,0.018545684830733822,0.9840942627116176
no noise,11,8,-0.3515625,0.004891815169266178,1.0041876445644886
no noise,11,9,-0.33984375,0.006826934830733822,0.9941502047386849
no noise,11,10,-0.345703125,0.0009675598307338218,0.9991713186569463
no noise,11,11,-0.3486328125,0.001962127669266178,1.0016800902522616
no noise,11,12,-0.34716796875,0.0004972839192661782,1.000425855348094
no noise,12,1,0.0,0.36703819762847123,0.7046445133436977
no noise,12,2,-1.5,1.1329618023715287,1.5420390402070228
no noise,12,3,-0.75,0.38296180237152877,1.2624011496396284
no noise,12,4,-0.375,0.00796180237152877,1.0060775709346044
no noise,12,5,-0.1875,0.17953819762847123,0.8583000306735888
no noise,12,6,-0.28125,0.08578819762847123,0.9332956508021153
no noise,12,7,-0.328125,0.03891319762847123,0.9700077256040892
no noise,12,8,-0.3515625,0.01547569762847123,0.9881282926604382
no noise,12,9,-0.36328125,0.00375694762847123,0.9971250005259042
no noise,12,10,-0.369140625,0.00210242737152877,1.001606884252297
no noise,12,11,-0.3662109375,0.00082726012847123,0.9993673318915561
no noise,12,12,-0.36767578125,0.00063758362152877,1.000487456716035
no noise,13,1,0.0,0.4209493902678204,0.6975852824229619
no noise,13,2,-1.5,1.0790506097321795,1.4052157591540086
no noise,13,3,-0.75,0.3290506097321796,1.1911548019877145
no noise,13,4,-0.375,0.04594939026782041,0.9694266550677587
