regime,day,round,gamma_t,gamma_hat,gmv_ratio,gamma_error,converged
noiseless,16,9,-0.37109375,-0.37156849693818117,0.9996505967908929,0.00047474693818116975,True
noiseless,16,10,-0.380859375,-0.37156849693818117,1.0068003899519873,0.00929087806181883,True
noiseless,16,11,-0.3759765625,-0.37156849693818117,1.003236539860656,0.00440806556181883,True
noiseless,16,12,-0.37353515625,-0.37156849693818117,1.0014453431580954,0.0019666593118188302,True
noiseless,17,1,0.0,-0.3470320292243982,0.6964002709563273,0.3470320292243982,True
noiseless,17,2,-2.5,-0.3470320292243982,1.2785460452202944,2.152967970775602,True
noiseless,17,3,-1.25,-0.3470320292243982,1.2762010248368227,0.9029679707756018,True
noiseless,17,4,-0.625,-0.3470320292243982,1.178723989576761,0.2779679707756018,True
noiseless,17,5,-0.3125,-0.3470320292243982,0.9700908081900718,0.034532029224398186,True
noiseless,17,6,-0.46875,-0.3470320292243982,1.0950029427487948,0.12171797077560181,True
noiseless,17,7,-0.390625,-0.3470320292243982,1.0358551821019621,0.043592970775601814,True
noiseless,17,8,-0.3515625,-0.3470320292243982,1.0038969640105844,0.004530470775601814,True
noiseless,17,9,-0.33203125,-0.3470320292243982,0.9870380008488792,0.015000779224398186,True
noiseless,17,10,-0.341796875,-0.3470320292243982,0.9954881197773695,0.005235154224398186,True
noiseless,17,11,-0.3466796875,-0.3470320292243982,0.9996963957167636,0.00035234172439818634,True
noiseless,17,12,-0.34912109375,-0.3470320292243982,1.0017999256883128,0.0020890645256018137,True
noiseless,18,1,0.0,-0.3638633857012217,0.6904358299132664,0.3638633857012217,True
noiseless,18,2,-2.5,-0.3638633857012217,1.2733968410970538,2.1361366142987785,True
noiseless,18,3,-1.25,-0.3638633857012217,1.2699418634607456,0.8861366142987783,True
noiseless,18,4,-0.625,-0.3638633857012217,1.1664528907970428,0.2611366142987783,True
noiseless,18,5,-0.3125,-0.3638633857012217,0.956861857721513,0.051363385701221675,True
noiseless,18,6,-0.46875,-0.3638633857012217,1.0793768411109732,0.10488661429877832,True
noiseless,18,7,-0.390625,-0.3638633857012217,1.02118989324709,0.026761614298778325,True
noiseless,18,8,-0.3515625,-0.3638633857012217,0.989807447297512,0.012300885701221675,True
noiseless,18,9,-0.37109375,-0.3638633857012217,1.005771486941736,0.0072303642987783245,True
noiseless,18,10,-0.361328125,-0.3638633857012217,0.9979276028479221,0.0025352607012216755,True
noiseless,18,11,-0.3662109375,-0.3638633857012217,1.0018797922599874,0.0023475517987783245,True
noiseless,18,12,-0.36376953125,-0.3638633857012217,0.9999242277158852,9.385445122167546e-05,True
noiseless,19,1,0.0,-0.31100415191178354,0.7134967243185553,0.31100415191178354,True
noiseless,19,2,-2.5,-0.31100415191178354,1.278846638947581,2.1889958480882163,True
noiseless,19,3,-1.25,-0.31100415191178354,1.2770506564191726,0.9389958480882165,True
noiseless,19,4,-0.625,-0.31100415191178354,1.1920520422451122,0.31399584808821646,True
noiseless,19,5,-0.3125,-0.31100415191178354,1.0012966746069802,0.001495848088216456,True
noiseless,19,6,-0.15625,-0.31100415191178354,0.8574424141275974,0.15475415191178354,True
noiseless,19,7,-0.234375,-0.31100415191178354,0.9301398433759597,0.07662915191178354,True
noiseless,19,8,-0.2734375,-0.31100415191178354,0.9664361544345407,0.037566651911783544,True
noiseless,19,9,-0.29296875,-0.31100415191178354,0.984060160480497,0.018035401911783544,True
noiseless,19,10,-0.302734375,-0.31100415191178354,0.9927964814938106,0.008269776911783544,True
noiseless,19,11,-0.3076171875,-0.31100415191178354,0.9970626723362469,0.003386964411783544,True
noiseless,19,12,-0.31005859375,-0.31100415191178354,0.999180158713112,0.000945558161783544,True
noiseless,20,1,0.0,-0.3265757750019328,0.7054911695631518,0.3265757750019328,True
noiseless,20,2,-2.5,-0.3265757750019328,1.2794581966181113,2.173424224998067,True
noiseless,20,3,-1.25,-0.3265757750019328,1.277426068839307,0.9234242249980672,True
noiseless,20,4,-0.625,-0.3265757750019328,1.1881268839763262,0.2984242249980672,True
