day,n,newton_ok,gap_gamma,gap_MS,gap_uniform,iter_gamma,iter_MS,iter_unif,iter_newton,t_gamma,t_MS,t_unif,t_newton,ebar_obs,ebar_FI,ebar_gamma
21,344,True,0.008382283349772987,0.0,0.04904107835587679,6,126,10,2,7.93330000306014e-05,0.015457917000276211,0.00014270799965743208,0.0038050000002840534,0.11925793212641403,0.06563254806942652,0.0803236450678979
22,343,True,0.009314843914262648,0.0,0.06615475829746066,7,126,10,2,7.545800053776475e-05,0.01575291599965567,0.00014837499929853948,0.0037753749993498786,0.13213266390283535,0.07018065412794486,0.08656530880420145
23,350,True,0.01667655449814534,0.0,0.11369797252426614,9,126,10,2,9.491699984209845e-05,0.016294125000058557,0.0001495829992563813,0.0038064589998612064,0.17818378783775338,0.08341044694243274,0.11161218334306983
24,350,True,0.00850590970239898,-1.6189507997644385e-16,0.05305549274085648,6,126,10,2,7.587500022054883e-05,0.015902916999948502,0.0001612089999980526,0.0038216659995669033,0.12412241411637258,0.06779580168004658,0.0828039538211175
25,348,True,0.016048120076391673,0.0,0.04634612917206161,6,126,10,2,6.725000002916204e-05,0.015745917000458576,0.00014674999965791358,0.0038127090001580655,0.16110081039978336,0.0881746993368864,0.11517135271414286
26,347,True,0.019655276108927516,0.0,0.044238264326189006,7,126,11,2,7.75419994170079e-05,0.016213083999900846,0.00015754200012452202,0.0038430829999924754,0.16365284056582152,0.08536214794928713,0.11752052678313535
27,363,True,0.01840945013233065,1.97898872612259e-16,0.04096667459309284,7,127,9,2,7.779200041113654e-05,0.01753266600007919,0.00014125000052445102,0.004093458999705035,0.18128788983562844,0.08877701315025952,0.11914574208126576
28,351,True,0.02796243746721991,-3.2959524599531674e-16,0.04806506347768589,7,126,9,2,8.391699975618394e-05,0.016332000000147673,0.00013041700003668666,0.004005040999800258,0.22341201224974477,0.1116751206733108,0.15641060973581733
29,348,True,0.0226552454064904,2.1564470129833753e-16,0.038933394919280204,7,126,9,2,7.550000009359792e-05,0.015854874999604363,0.00013637499978358392,0.003756625000278291,0.18432949313555969,0.09581969466732099,0.13284895146936632
30,352,True,0.019640732739581855,2.244127837405622e-16,0.039846411888842984,7,126,9,2,7.587500022054883e-05,0.016123165999488265,0.0001275000004170579,0.0037351250002757297,0.18021499552092665,0.09266560945223429,0.1252083475570672
31,347,True,0.01684779373420284,-2.1890547721847617e-16,0.03996659987656713,7,126,9,2,7.570900015707593e-05,0.0161105419992964,0.00012683400018431712,0.0037913749993094825,0.16735068019416263,0.08704315650313564,0.11515214395050981
