sigma,mkt,mis,S,ebar,regret_mcifi,regret_gamma
0.3,10,0.3041536651332514,0.11965496081147502,0.11941837998771643,0.0030248073811377507,0.03507568895932056
0.3,11,0.3410475465831291,0.15119312570763446,0.15091843354446352,0.007159810156133539,0.06689808209121395
0.3,12,0.3046290711965156,0.13735107210447042,0.1369374920117824,0.0045092189702898855,0.05172168453916204
0.3,13,0.4272257655616878,0.06003095124406717,0.059897404864721775,0.002272880750847084,0.012764348550514226
0.3,14,0.36709371292382575,0.1538090210577431,0.15346215088672474,0.009202871260956758,0.07464874215706807
0.3,15,0.2904660257985052,0.14284502996593654,0.14236066289180796,0.0042435882294334926,0.05311954434989863
0.6,0,0.6128021781026965,0.10912703993672725,0.1087921737980275,0.03609788198788133,0.11228651165319248
0.6,1,0.627401363787812,0.09837527466845981,0.09816971658115452,0.03318453555134271,0.09737220476816266
0.6,2,0.5370456450532918,0.09624871509789133,0.09596352723311019,0.017717698641865898,0.0679116011010572
0.6,3,0.5146730542589409,0.09562265321368528,0.0952382950323936,0.013015040337964412,0.05477219338410699
0.6,4,0.6164684381326596,0.10774282114736325,0.10752949084874636,0.03960926956963862,0.12462541556827211
0.6,5,0.5350591681067929,0.10901453608308512,0.10870404190323292,0.021770208664220636,0.08616867324869892
0.6,6,0.6397404982533371,0.134735269415656,0.1344960301794634,0.06307700420687845,0.19973391256734496
0.6,7,0.5795096594223025,0.12858659175975218,0.12813752754675517,0.038338498967043555,0.14329321045669785
0.6,8,0.5868843148070161,0.11485966317160352,0.1146910231191716,0.03368182987458934,0.11380924548307081
0.6,9,0.602498322608696,0.062097148012406816,0.061898018979690335,0.012026131807463147,0.035374596545640236
0.6,10,0.5431864001103167,0.11710125820865569,0.11671455542906381,0.02385392742795267,0.09303542699457701
0.6,11,0.5900605713116296,0.0811274506582986,0.0808592085028354,0.017013496960886942,0.05429679332431758
0.6,12,0.4693934569936069,0.11489543326849735,0.11465040975515639,0.01411990829261689,0.06996901079935292
0.6,13,0.5154675949008332,0.15453080483552967,0.15419563415555967,0.03176927099790139,0.15129868980657757
0.6,14,0.5616964956833683,0.07313396860493733,0.07294009035649282,0.01126279782242856,0.03851046436750072
0.6,15,0.6323135458782352,0.1462682994794226,0.14567455014240935,0.0795649347687778,0.26125399377632763
0.9,0,0.7689511874599936,0.10930121999803345,0.1089207212230439,0.12137240238330327,0.3490274769271384
0.9,1,0.6095119315378645,0.1415531701657513,0.1411398812021493,0.060583339169289485,0.23301939119174053
0.9,2,0.682189759750857,0.12772800080074154,0.12731072725820447,0.08552178087591855,0.2677826608323345
0.9,3,0.6474012545307296,0.08239067430396832,0.08214130797385417,0.03627281376823166,0.10197039987447509
0.9,4,0.705942096377873,0.06872200559446034,0.06852965872535804,0.053969672400809965,0.12595108542036682
0.9,5,0.5772136180518789,0.12505438189026732,0.12484896903073593,0.04282671161203766,0.16260848634775316
0.9,6,0.5836646545865383,0.09167518810177583,0.0914090378163114,0.02610512777764351,0.09028561719048767
0.9,7,0.6881072174810862,0.14471925963097546,0.14437540195351115,0.07377055765251983,0.32512497317952105
0.9,8,0.6892449244426447,0.12566834890185144,0.12524625684885024,0.10749392783733291,0.30311662374381454
0.9,9,0.5705991055081707,0.1472520459044323,0.14673865955866747,0.04734031910821934,0.21125500260469043
0.9,10,0.6001740006100283,0.13381733357952702,0.13358104988835776,0.06268304442080042,0.22125534715027784
0.9,11,0.6971276108223114,0.08102983154481873,0.08082179293377197,0.05254573208935964,0.12394491055168333
0.9,12,0.7401515564831579,0.06115844061354338,0.06090967678639117,0.04652213393214222,0.09984410372849506
0.9,13,0.6186677081660577,0.10303093199419078,0.10270039586913866,0.04742132469527105,0.1542593052182647
0.9,14,0.6267814193979314,0.11727631368429846,0.11686517705107106,0.05688268181534739,0.18398692248814752
0.9,15,0.8140410176365906,0.09729871156822371,0.09689874699410768,0.16848351814078655,0.5170030532428131
