market,N,sigma_log_alpha,mu_log_alpha,mean_alpha,inside_share,ebar_BN,gap_gamma,gap_MS,gap_uniform,iter_gamma,iter_MS,iter_BN,time_gamma,time_MS,time_BN,pi_BN
12,60,0.05893791229978783,1.2644514414046437,3.5767264519811617,0.08330581325879158,0.08531010709527836,0.003959145028555326,2.698437590796445e-16,0.016339779956385282,43,5,7,0.0022654579988738988,0.0005559159981203265,0.026919708001514664,0.025714487255787195
13,60,0.19253711746326807,0.9375216021723566,2.6427480465999547,0.16620769524077506,0.18998993529534935,0.02246576444500738,0.0,0.014506782054092041,154,8,7,0.008251625000411877,0.0009715829983178992,0.020459500003198627,0.08370287306081585
14,60,0.07419800792079366,0.949735420340834,2.5870762784004304,0.3096113036054247,0.31340548435080745,0.11581036159107853,0.0,0.02297848543621566,412,6,7,0.022008874999301042,0.0006929999981366564,0.020702499998151325,0.17585078335592563
15,60,0.06872906120423507,1.0606639557867505,2.9179881184399004,0.1098164619190207,0.11164288047627437,0.0071172969265539746,1.6217156218041548e-16,0.020397795042987357,93,5,7,0.004929790997266537,0.0005644169978040736,0.021064417000161484,0.04278736549499181
16,60,0.2779077494799651,1.2460581799006514,3.6971900534320965,0.15195621388700117,0.21180705008413953,0.025732963317603542,0.0,0.017570923920199825,39,9,7,0.0022628750011790544,0.0010734160023275763,0.02223766699898988,0.06049420578439783
17,60,0.16833716574671204,1.269215028103164,3.644289838548853,0.06331071143245216,0.07322386389607251,0.0026748416608602795,0.0,0.017343150043210322,45,6,7,0.00242074999914621,0.0007462909998139367,0.026464750000741333,0.019870477180155912
18,60,0.0537424696641008,1.2930955890884632,3.637658230786575,0.06969682273910857,0.07086415768974355,0.0026697721737633687,0.0,0.01594713532981878,41,5,7,0.0021456249996845145,0.0005679999994754326,0.024355000001378357,0.020778840558801828
19,60,0.22870577085749488,1.1299809807529477,3.233397112521369,0.21151562616351227,0.26741728010769295,0.04782560294738796,0.0,0.013271555772550025,58,9,7,0.003202291998604778,0.0010164160012209322,0.022391374997823732,0.10092980659962693
20,60,0.14483607793764486,1.3586118622950611,4.034732765466318,0.10754244595398037,0.12609002853963847,0.008433035319158138,0.0,0.02436668376070805,37,6,7,0.0020387500007927883,0.0007339170006162021,0.02508595799736213,0.03233396417119025
21,60,0.2863782434590686,1.0629717377637626,3.2010798932198883,0.0921481234671637,0.12797552093825668,0.008502158110669714,0.0,0.01670548195101409,58,8,7,0.0030390419997274876,0.0009064999976544641,0.022469583000201965,0.039338509892452835
22,60,0.24696283596189883,1.330276714381857,4.147166043581528,0.1684445358227383,0.26086365711223675,0.040061988212268404,0.0,0.014405264385091899,33,10,7,0.0017285829999309499,0.0012965419991814997,0.020849291002377868,0.06699045369635015
23,60,0.10524355202214246,1.1962726360310276,3.3363964678093025,0.13267062581525194,0.1400708048152948,0.011347183575419828,0.0,0.014775194196853208,52,6,7,0.002730791999056237,0.0006694170006085187,0.02203212500171503,0.04744648298077852
24,60,0.22870773536894162,1.300684371819021,3.7290702706595815,0.1841462432420056,0.23432388156059705,0.03343145196333779,0.0,0.017849808853983427,42,8,7,0.002511124999728054,0.0009313750015280675,0.02336004199969466,0.07147763451720995
25,60,0.08429260003441381,1.384934238504789,3.9816162315284593,0.18206407185239917,0.19382745549106886,0.023614257510988532,1.1992946232770218e-16,0.015631091109816597,38,6,7,0.001965209001355106,0.0006974159987294115,0.023504291999415727,0.05785812567846752
26,60,0.1500484122106634,0.9296287180267496,2.5193520701095964,0.1141277901141941,0.1220503283696587,0.00855516505263402,0.0,0.019200007751971747,510,6,7,0.026802333999512484,0.0006885830007377081,0.021396000000095228,0.053684043401147505
27,60,0.22171443801641855,1.204274591569075,3.5640965469897283,0.07635674082698463,0.10418385711541764,0.0053011558270058675,0.0,0.01352191457364196,47,8,7,0.002429749998555053,0.0008908330019039568,0.023436084000422852,0.027565114785016512
28,60,0.13953529035465917,1.0354336835131859,2.7900139769976695,0.19519296003459013,0.2075463811386644,0.027893439648213083,1.5247159205435685e-16,0.02103718132685448,115,6,7,0.005989583001792198,0.0007125830015866086,0.02425204199971631,0.09101884240093039
29,60,0.2915759988887642,1.2830971362338874,3.972095766335124,0.11205844675753188,0.18164526447889465,0.016992684190262113,0.0,0.011055436149509736,33,10,7,0.0017200830006913748,0.0011066660008509643,0.021292874997016042,0.04218430129845581
30,60,0.2267412565483914,1.2067879284174903,3.466178141570475,0.07065263174508402,0.09464706772958484,0.004386230660460772,2.6875984740917956e-16,0.015318757247008546,45,8,7,0.0022982909977145027,0.0008897910011000931,0.0215303330005554,0.025818194089621396
31,60,0.19649422445396364,1.3405328786583917,3.861115189448153,0.1807817314152469,0.21693912873624094,0.02920750273903031,2.1563476305118663e-16,0.019770780837814424,40,7,7,0.002068540998152457,0.0007852089984226041,0.021511791997909313,0.06435784106164828
32,60,0.23269288346534617,1.0351569473648234,2.9530637689143164,0.2184477826051238,0.2577871600225038,0.04402481926962899,1.2758192844423107e-16,0.020787813917751256,94,8,7,0.005020374999730848,0.0009122500014200341,0.021347833000618266,0.10877549804305357
33,60,0.27664843221662533,1.0178061684550508,2.753979160639626,0.12935319506698392,0.1656619497468061,0.01571772977163996,0.0,0.013730880838550804,90,9,7,0.004732250003144145,0.0010537499983911403,0.020128625001234468,0.06533022574271645
34,60,0.15056180232771554,1.2627311228375733,3.6172956916916363,0.13879569983104656,0.16514093093600676,0.015631329966926025,1.4121912299593968e-16,0.01561414981282758,44,7,7,0.002550583001720952,0.0008418750003329478,0.022002625002642162,0.04913565356234888
35,60,0.07212696149975749,1.0461885442971297,2.8310093720158704,0.24480051243681755,0.24806143854182905,0.043252576560038225,0.0,0.0207547877674118,139,6,7,0.008111582999845268,0.0007441670022672042,0.02236350000021048,0.11598703595049732
36,60,0.2524326824735138,0.9167068413405147,2.55039388097814,0.10536346640433465,0.13261821000222923,0.009584551687025185,0.0,0.014810441758563981,881,8,7,0.056078583002090454,0.002415791001112666,0.02185316699979012,0.05524028857141768
37,60,0.21451866362484506,1.348908293806808,3.98154409908224,0.18339764001763756,0.23185333203984337,0.03289304649707165,4.214853906531181e-16,0.019699509061527294,39,8,7,0.0020660829977714457,0.0009384170007251669,0.025948416001483565,0.06585180941294289
38,60,0.05290230678204429,1.04157702747994,2.853761090287581,0.21851503227300959,0.2208505636337131,0.03311759396088691,0.0,0.021203245073204043,143,5,7,0.008417083001404535,0.0008999999990919605,0.026648083003237844,0.09885335809930013
39,60,0.2125452942742827,1.3315041661728262,3.724921093896397,0.07464004178588879,0.09532705467885552,0.0045752432743348306,2.8161420805017835e-16,0.01580011477632117,41,7,7,0.0021710830005758908,0.0008154999995895196,0.023874541999248322,0.02463971527555473
40,60,0.27620774996674435,1.0094303679859034,2.7742644214324392,0.15503636620881667,0.20217875940379124,0.02407052100306222,0.0,0.018437818293321084,121,10,7,0.009036041999934241,0.0013517080005840398,0.028076250000594882,0.0815796875275505
41,60,0.25125174958859503,1.0996177550561164,2.927445260877189,0.08525392986871035,0.11041641277384617,0.006418099932266902,0.0,0.01443843083371866,85,8,7,0.006684500000119442,0.0010537919988564681,0.0244407090031018,0.03767168660554053
42,60,0.05975059133820691,1.383365704447852,4.011744679422409,0.09238946382477577,0.0947704307036726,0.004864018470113182,1.3507164576872024e-16,0.01900584770468899,35,5,8,0.0019654159987112507,0.0006045829977665562,0.03510733299845015,0.025685975263041217
43,60,0.26137980524690013,1.1138240529815968,3.2653686871789063,0.16404560606829316,0.20965919657469917,0.0270425662479217,0.0,0.01588413834531835,63,8,7,0.0035825419981847517,0.0012657919978664722,0.021717999999964377,0.07302028553510398
44,60,0.2007103647289305,1.3084449903724304,3.8403682857564854,0.04690160681182615,0.06108408427550594,0.0017246952804600205,0.0,0.014540896581495752,35,7,7,0.002064915999653749,0.0008550829988962505,0.02720154199778335,0.014492056553283486
45,60,0.13899887191107796,1.1636876525281308,3.275508738456537,0.1495896016030853,0.16193259048183015,0.015963355554177525,0.0,0.01703509563384927,56,6,7,0.003006041999469744,0.000695333001203835,0.024239999998826534,0.05656827810329239
46,60,0.1895678727454248,1.0149882582339478,2.827231668806563,0.23067489819900447,0.25708840314590026,0.04624546143448137,0.0,0.021658874540567516,125,7,7,0.007192875000328058,0.0008779580020927824,0.02557100000194623,0.11660362013831777
47,60,0.15610472375898576,1.3271911678343675,3.8578951002575566,0.08691685660148464,0.10332969284738683,0.0054724380134102265,0.0,0.017904991362276218,40,6,7,0.002121125002304325,0.0006988330023887102,0.02837987499879091,0.026907750678501038
49,60,0.05226248050226416,1.3852265421008854,3.984229123667417,0.13451732413586384,0.13649262762963696,0.010971379487330736,0.0,0.026745797509465537,36,5,8,0.001960749999852851,0.0006474999972851947,0.030951290998928016,0.03931841366039336
50,60,0.2420908168674431,1.1447141468850086,3.1515251494785366,0.07970746696518367,0.10381050139797075,0.005643530806095828,2.121351573486623e-16,0.015716834625868446,66,8,7,0.004214959000819363,0.0009410409984411672,0.022347999998601153,0.032709778004890354
51,60,0.1041491060233307,1.3181107558524976,3.7545344419069218,0.1614402290105049,0.1725549750831065,0.018021561159708495,0.0,0.018197079540673622,41,6,7,0.0028576250006153714,0.0012556660003610887,0.026370166000560857,0.05321327500421615
52,60,0.18281117384336465,1.3486264056638346,3.885778279433532,0.2068471256059816,0.250305781243186,0.03968960442977585,0.0,0.017153889155163308,39,7,7,0.0020634159991459455,0.0008169169996108394,0.02314933299930999,0.07613506674010131
53,60,0.2119535747464934,0.9901591611015983,2.735663179017712,0.13540377019943747,0.1582006589142561,0.014397368619809392,0.0,0.02054354161989836,169,8,7,0.009015874999022344,0.0009358749994134996,0.023591000001033535,0.06432472635327907
