day,n_products,ebar,S_inside,pi_BN,pi_gamma,pi_MS,pi_uniform,gap_gamma,gap_MS,gap_uniform,iter_gamma,iter_MS,iter_uniform,iter_BN,time_gamma,time_MS,time_uniform,time_BN
13,337,0.11915376762984105,0.1191629428247034,354143.70284142776,351592.16782922077,354143.70284142776,312056.66278177395,0.007204801304484794,0.0,0.11884170104388049,7,121,11,2,8.787499973550439e-05,0.015712750000602682,0.0001777910001692362,0.003815457999735372
14,341,0.11027895252182247,0.11028822015978668,313473.84883482894,311577.3207922188,313473.84883482906,277360.50505721243,0.006050035911000166,0.0,0.11520368895794182,6,119,10,3,7.104099859134294e-05,0.016034583999498864,0.00020041599964315537,0.008169291999365669
15,334,0.10861232057665465,0.10862160557482578,303154.42508143827,301294.12548755255,303154.42508143827,269152.2453747958,0.006136475142614119,0.0,0.11216125147277083,6,119,10,3,7.30419997125864e-05,0.01620287500008999,0.00017691600078251213,0.007397749999654479
16,339,0.11131018103789504,0.11131943793423121,305974.1529505665,304011.95306697884,305974.1529505665,270041.7626547763,0.006412959606770032,0.0,0.11743603160360899,6,118,10,3,6.891700104461052e-05,0.015536958000666345,0.00015754200103401672,0.007569749999674968
17,336,0.08925855711339349,0.0892680437069675,256553.18552271824,255556.29823364288,256553.18552271824,227194.05010103242,0.003885694449843732,0.0,0.11443683835719129,6,120,10,2,6.933300028322265e-05,0.014529833999404218,0.00014854199980618432,0.0035961670000688173
18,332,0.08006083206599864,0.0800704144662146,228613.71551593047,227886.3697848119,228613.71551593047,204091.1122446257,0.0031815489699606146,0.0,0.10726654442391043,6,120,11,3,6.850000136182643e-05,0.014407874999960768,0.0001870420001068851,0.007686834000196541
19,340,0.1100706235286765,0.11007989333666657,282829.5221886183,281221.55325108743,282829.5221886183,244424.81980066304,0.005685293830318499,0.0,0.13578745984778517,7,118,10,3,8.104200060188305e-05,0.014695500000016182,0.00015354099923570175,0.007612666999193607
20,339,0.09915418428782734,0.09916356780517276,255232.24812440245,254008.31617802504,255232.24812440245,224805.2291689438,0.004795365614539665,0.0,0.11921306644851655,6,118,11,3,6.97920004313346e-05,0.014965375001338543,0.00016741599938541185,0.00752529199962737
21,344,0.11925793212641403,0.11926710623626344,328409.67211323633,326136.1683241841,328409.6721132363,288520.75348803157,0.006922767452075352,1.7724100675511556e-16,0.12146085213790836,7,120,11,3,8.004099981917534e-05,0.015190250000159722,0.00017591699906915892,0.007651083000382641
22,343,0.13213266390283535,0.13214170390508628,357817.97078657587,355016.38801974285,357817.97078657587,310518.25331064966,0.00782963125265737,0.0,0.13218932903774866,7,120,11,3,7.937500049592927e-05,0.01544991700029641,0.00016133300050569233,0.007680165999772726
23,350,0.17818378783775338,0.17819234815578677,466892.23999650415,460101.1980785276,466892.2399965042,416301.8245247529,0.01454520194644362,0.0,0.10835565712578568,8,120,11,3,0.00010324999857402872,0.01658941699861316,0.00018354200074099936,0.00765687500097556
24,350,0.12412241411637258,0.12413153755611804,349499.6599272542,347027.1000088223,349499.65992725425,307405.8318164779,0.007074570312733808,0.0,0.1204402548475665,6,122,10,2,7.695800013607368e-05,0.0160531669989723,0.00016312499974446837,0.003883290999510791
25,348,0.16110081039978336,0.1611095486599377,448225.0323324935,442894.2420840495,448225.0323324935,386899.66547887767,0.011893111414825288,0.0,0.13681825518420548,7,122,11,2,7.81660000939155e-05,0.01579649999985122,0.0001621669998712605,0.003835416000583791
26,347,0.16365284056582152,0.16366155224315904,469518.8341608599,463629.8683637778,469518.83416085993,401212.8911483122,0.012542554991658676,0.0,0.14548073057522048,7,120,11,3,7.949999962875154e-05,0.01630841600126587,0.0002179160001105629,0.00851775000046473
27,363,0.18128788983562844,0.18129641782027645,552291.4965386151,543294.3230791482,552291.496538615,478366.2792124181,0.01629062463545975,2.107860116560663e-16,0.13385181156963233,8,122,11,3,0.00010195899994869251,0.017266458000449347,0.00017762499919626862,0.008284374998765998
28,351,0.22341201224974477,0.22342010145516283,672087.4141472748,653983.4565602278,672087.4141472748,582497.9984084547,0.026936909107302353,0.0,0.13330024317221975,7,122,10,3,8.124999840219971e-05,0.016237375000855536,0.00015116600116016343,0.007709540999712772
29,348,0.18432949313555969,0.18433798943783006,524973.5193720716,515583.9010387405,524973.5193720717,453363.69801138545,0.017885889453171152,0.0,0.1364065399838447,7,121,10,3,8.075000005192123e-05,0.015505833000133862,0.00014979200022935402,0.007491665999623365
30,352,0.18021499552092665,0.1802235346812079,507566.0507242471,499543.54114193417,507566.05072424706,437026.96072270453,0.015805843536748795,1.1467997284375258e-16,0.13897519327955485,7,121,11,3,8.08749991847435e-05,0.01632991599944944,0.00020258400036254898,0.008249917000284768
31,347,0.16735068019416263,0.16735935335354105,509526.45480552944,502210.32476527593,509526.45480552944,442541.5708259499,0.014358685346467151,0.0,0.13146497762347908,7,121,10,3,8.191699998860713e-05,0.015935875000650412,0.0001548750005895272,0.007640249999894877
