market,mu_log_alpha,sigma_log_alpha,R_target,R_unc,mu_lagrangian,gamma_star_tuned,uniform_m_tuned,pi_unc,pi_cbn,pi_gamma0,pi_gamma_tuned,pi_uniform_tuned,R_cbn,R_gamma0,R_gamma_tuned,R_uniform_tuned,gap_gamma0_vs_cbn,gap_gamma_tuned_vs_cbn,gap_uniform_tuned_vs_cbn,gamma_beats_uniform_constrained,gamma0_violates_floor,gamma_tuned_meets_floor,uniform_tuned_meets_floor,time_cbn,time_gamma_tuned,time_uniform_tuned
10,0.953152596443046,0.07688763088909252,0.43597565470272615,0.34878052376218094,100.0,-5.0,0.5,0.16907627610593207,-0.003995452587521367,0.1565393129150632,0.009032012204848956,0.16398270112355876,0.3836750549085751,0.39456821613412935,0.39165428215312664,0.3279654022471175,,,,False,True,False,False,0.0018629200003488222,0.21172100900002988,7.83200011937879e-05
11,1.3701587747055481,0.16081441749625192,0.14168017863815843,0.11334414291052675,0.3260298430514071,-0.14728311053792872,0.25504671172109455,0.04186855503806005,0.037682376473496725,0.04129030474084001,0.037627065890927874,0.03613506335800803,0.14168017862957136,0.12427550658232416,0.14168042737130573,0.14168017738461722,0.0,0.0014678103597779181,0.041061983353862345,True,True,True,True,0.012740558999212226,0.12564046299848997,0.00038223000046855304
12,1.3040212193317184,0.21116685330272167,0.09171454682828828,0.07337163746263062,0.293556346378152,-0.17269668206415642,0.26699162057198295,0.02786075616601544,0.02535588077516084,0.027676368061204097,0.025342782004608617,0.02448701548744143,0.0917145468266996,0.07852734981527637,0.09171507236467243,0.09171454682728346,0.0,0.0005165969452362364,0.0342668154746401,True,True,True,True,0.01498454900138313,0.12224866399992607,0.0003877099989040289
13,1.3346875360553443,0.1469592177703392,0.06809068253469727,0.05447254602775782,0.2378533298974301,-0.16829297853253317,0.24461067478479054,0.01902851374341712,0.01749214656281948,0.01897739238719126,0.017485627518098894,0.016655706958085617,0.06809068285428617,0.0570001854293936,0.0680916138071581,0.06809067908724502,0.0,0.0003726840898098483,0.04781800802605667,True,True,True,True,0.009646299999076291,0.12745051300043997,0.00034653999864531215
14,1.3049654702397433,0.27489543687259743,0.14941841106205253,0.11953472884964203,0.41225699696376666,-0.15998869716140096,0.27588266480204743,0.04858071274654911,0.043131413033263725,0.0475801759001355,0.04304262809634715,0.04122194949435265,0.14941841111178597,0.13293159035288207,0.14941995123991028,0.14941841135226971,0.0,0.0020584750341497283,0.04427083196737521,True,True,True,True,0.01930179899864015,0.12593219299924385,0.0004240199996274896
15,1.3275177530843272,0.284971341267346,0.11045201052773997,0.08836160842219197,0.322004760177558,-0.16811236679505195,0.26748130011887,0.034067037760599224,0.030798769069629653,0.03373600633790425,0.03077514471481838,0.029543847350953417,0.11045201517806671,0.09567162202947774,0.11045183344175044,0.11045201043147307,0.0,0.0007670551624275695,0.040745840063903756,True,True,True,True,0.015289198998289066,0.12690814300003694,0.0003865199996653246
16,1.0175728346915638,0.20076181548720085,0.2654507164837303,0.21236057318698426,0.9121941064350497,-0.8218171700573682,0.2684938873179037,0.09519582180231477,0.0776455449379236,0.09211015494834654,0.054040318964142464,0.07127189498298685,0.26545071787636204,0.23754479733290898,0.26545129533507295,0.26545071731409325,0.0,0.30401262548486385,0.08208648622444963,False,True,True,True,0.015810648999831756,1.3782017859994085,0.000550880000446341
17,1.1684350786166762,0.18339463706935832,0.09939832339458926,0.0795186587156714,0.4018953795136207,-0.23988773889814208,0.2784505975829989,0.032497394531348,0.0289344264207581,0.032300422610208115,0.028913154192817314,0.02767752968686525,0.0993983229090648,0.08448723148980278,0.09939832016703731,0.09939834903250763,0.0,0.0007351874763802451,0.043439490232684494,True,True,True,True,0.013814959998853737,0.1689170909994573,0.0003882000000885455
18,1.0318014203414971,0.2625581730534185,0.1712256679623591,0.13698053436988727,0.6676613177207492,-1.0789513478376636,0.2882149752230685,0.06206662304841863,0.05281557933384691,0.06108296260312549,0.02986955405019149,0.04934980170187676,0.1712256681274858,0.14930250925053737,0.17122573839058156,0.1712256681446955,0.0,0.4344556203504605,0.06562036572699499,False,True,True,True,0.018906949000665918,1.164459858000555,0.0004631389983842382
19,1.191276052913295,0.20536343772763638,0.12339493188036661,0.09871594550429329,0.36634931319831027,-0.19580443208914702,0.26862943554747315,0.03915875435161875,0.03508533150930595,0.038804516241059524,0.03504266883928247,0.033147508272369924,0.12339493186058918,0.10632445054423406,0.12339378266353185,0.12339492209710567,0.0,0.0012159688447624976,0.055231720880905485,True,True,True,True,0.013944919999630656,0.14640818200132344,0.0003819699995801784
