n_days,ebar_median,ebar_max,gap_gamma_mean,gap_gamma_median,gap_gamma_max,gap_uniform_mean,gap_uniform_median,gamma_beats_uniform_pct,gamma_gap_lt_ebar2_pct,time_gamma_mean,time_MS_mean,speedup_gamma_vs_MS,iter_gamma_mean,iter_MS_mean,M_mult,margin,M
31,0.14829899377096312,0.3333263890335619,0.12580276827892464,0.1264700663216309,0.3707457536733187,0.04751144131533179,0.042062532887120176,3.225806451612903,0.0,8.814000020427028e-05,0.014600215322653024,165.64800645355183,8.193548387096774,122.16129032258064,3.0,0.4,96003.0
31,0.14829899377096312,0.3333263890335619,0.06015125911466857,0.06000866336197224,0.2190637796265562,0.04808298886473474,0.04265918481897989,48.38709677419355,0.0,7.833229028619826e-05,0.014768183387200078,188.53251109143372,7.290322580645161,123.48387096774194,3.0,0.5,96003.0
31,0.14829899377096312,0.3333263890335619,0.03035671429315164,0.03045326025409096,0.12772751092706094,0.050063881441605194,0.04485538243030046,87.09677419354838,6.451612903225806,7.578645161101445e-05,0.014915219838522101,196.8058870875331,6.838709677419355,124.80645161290323,3.0,0.6,96003.0
31,0.14829899377096312,0.3333263890335619,0.01638462861877354,0.01600064028839326,0.07675791662911909,0.052185710976060354,0.047590279251516744,100.0,100.0,7.302612920607169e-05,0.015033613451622284,205.86622370739497,6.67741935483871,125.80645161290323,3.0,0.7,96003.0
31,0.14829899377096312,0.3333263890335619,0.009460530017474138,0.008943330335723152,0.04859405017478982,0.054096103311295884,0.04861810992808206,100.0,100.0,7.259290325765182e-05,0.015119337290255521,208.27569379051985,6.580645161290323,126.54838709677419,3.0,0.8,96003.0
31,0.08897902552436189,0.19999500012499688,0.06684427229516345,0.06383151218460228,0.22597460111807174,0.04372646820091314,0.039649009050283686,45.16129032258064,0.0,8.020516108973101e-05,0.014305652161525476,178.36323706800815,7.451612903225806,121.64516129032258,5.0,0.4,160005.0
31,0.08897902552436189,0.19999500012499688,0.02761712908926497,0.026270549359737837,0.11055373615773227,0.046621299011649874,0.042311482896709295,90.32258064516128,0.0,7.000158057640112e-05,0.014505797935447434,207.22100581165475,6.580645161290323,123.3225806451613,5.0,0.5,160005.0
31,0.08897902552436189,0.19999500012499688,0.012563750154692991,0.012135619083644505,0.05620512211399992,0.049673088311707136,0.044707887690504544,100.0,0.0,6.729290321198923e-05,0.014870501419159889,220.98171886438223,6.225806451612903,124.51612903225806,5.0,0.6,160005.0
31,0.08897902552436189,0.19999500012499688,0.006320827779156191,0.006095095878434531,0.031056754357823978,0.05226730581000738,0.04699712213195623,100.0,100.0,6.53386772859038e-05,0.014792808612905755,226.4020213965544,6.032258064516129,125.58064516129032,5.0,0.7,160005.0
31,0.08897902552436189,0.19999500012499688,0.0034891273869036453,0.0032458201689715698,0.018885432041797677,0.05442404807575017,0.048898343115089726,100.0,100.0,6.505193555166179e-05,0.014860412064315882,228.43919920744412,5.903225806451613,126.45161290322581,5.0,0.8,160005.0
31,0.06355633331250055,0.1428533164290242,0.04298988156595532,0.040644904776896425,0.1582639389667667,0.042404540212621356,0.03873780106706,48.38709677419355,0.0,7.845516131877253e-05,0.014549735613224085,185.45287994637857,7.193548387096774,121.03225806451613,7.0,0.4,224007.0
31,0.06355633331250055,0.1428533164290242,0.016289595478699452,0.015037531504671143,0.06922847510692455,0.046209132375710824,0.04218021104807753,96.7741935483871,0.0,6.816774194087503e-05,0.014795880483953009,217.05105762174352,6.193548387096774,122.7741935483871,7.0,0.5,224007.0
