phi,day,mu,gamma_star,m_star,t_fi_ms,t_gamma_ms,n,fi_below_c,gamma_feasible,unif_feasible,gap_unif,unif_below_c,pi_fi,R_fi,pi_g,R_g,pi_u,R_u,p_unc,R_unc,p_lerner,R_lerner,gap_gamma,gamma_below_c,min_eta_g
1.15,13,0.6495088860053868,-0.4209493902678204,0.18507616914991104,1.4426249981625006,5.421166002633981,337,15,True,True,15.70660335147729,0,2.6485415968798427,0.9999999999999554,2.512093331473388,1.0,2.232545673659043,1.0000000000000002,3.9273153056461196,0.6522246924748888,3.894224820478383,0.6975852824229619,5.151826407680355,30.0,1.1997258540617308
1.15,14,0.5876611337087944,-0.3877759257418626,0.19216356622527703,1.3182499969843775,4.560166998999193,341,11,True,True,15.11859272011885,0,2.4074736086728175,1.0,2.3299822486186805,1.0,2.0434974789332263,1.0,3.4280064945475566,0.6565155879426235,3.403813691852704,0.7008599715409044,3.218783365889359,19.0,1.199686639234148
1.15,15,0.5482700551100674,-0.3636301670272092,0.1957084168907604,1.2800830008927733,4.5335000031627715,334,11,True,True,15.92806492028454,0,2.405984705024335,1.0000000005275482,2.335798366224616,0.9999999999999997,2.0227578992359425,1.0000000000000002,3.326305654249615,0.661048154970504,3.3029085492533703,0.7060837767366164,2.9171564828800163,8.0,1.1997074803794536
1.15,16,0.5702613595722263,-0.3805230145201718,0.19317055554915158,1.2972499971510842,4.468667000764981,339,14,True,True,15.562365192211187,0,2.3749767704830043,0.9999999988848182,2.295800096185643,1.0,2.005374212230256,0.9999999999999998,3.3398121815274404,0.6585462814812613,3.315812841654415,0.7026418682054013,3.3337873145285157,16.0,1.1997750257898916
1.15,17,0.4935191694580384,-0.3528375510755263,0.20208484125691956,1.2392910139169544,4.477041002246551,336,6,True,True,14.44444953887973,0,2.0660775061345875,1.0000000000003986,2.034227773448874,0.9999999999999998,1.7676439833268323,0.9999999999999998,2.773466307948816,0.663493269354918,2.761152756107112,0.7006652174576852,1.5415555607737657,7.0,1.1997396758900982
1.15,18,0.5052242317694603,-0.36884985660943304,0.20125325556082835,1.2092090037185699,4.237208006088622,332,10,True,True,14.597532099287854,0,1.8605392272081203,0.9999999999999994,1.8356120233230828,1.0,1.5889464162965727,0.9999999999999999,2.5218510525234397,0.6600878074174148,2.512552472676913,0.6942037217959257,1.3397838390348047,16.0,1.1997296816376264
1.15,19,0.4933367265143831,-0.32000725012612985,0.2020001963163684,1.213957992149517,5.808290996355936,340,4,True,True,15.63633210620338,0,2.212770546071926,1.0000000000773746,2.1605668030021796,1.0,1.8667743947398694,0.9999999999999998,2.9398426203880446,0.6691767944466732,2.9168611915538762,0.7180495624916686,2.3592027272062803,4.0,1.199724509590012
1.15,20,0.4831300493988514,-0.331666465572955,0.20195417702241708,1.2408750044414774,4.385834006825462,339,5,True,True,16.439774018438822,0,2.069720295355058,1.0000000000022835,2.038131948264673,1.0,1.729462955984922,0.9999999999999998,2.7376905723355796,0.668065665285157,2.722674669037556,0.71020786621717,1.5262133323655749,5.0,1.1993454012768905
1.15,21,0.5425431916979008,-0.3499263522774919,0.19567361098023267,1.3975420006318018,5.1492500060703605,344,7,True,True,15.841552201476876,0,2.5649928196634546,0.9999999999999997,2.4865340582475506,1.0,2.158658143172335,1.0,3.525467350180087,0.6637546134441177,3.4959158839109543,0.7118727881803165,3.05882967057188,8.0,1.1993085054026265
1.15,22,0.5439342318613094,-0.33579799766262675,0.19286241558120815,1.44900000304915,5.280625002342276,343,2,True,True,20.442754846378634,0,2.8334195684700827,0.9999999999999987,2.752130750693935,0.9999999999999997,2.2541905523184242,0.9999999999999999,3.833721688999557,0.6693992237847995,3.798011169855675,0.7227381162659067,2.868929779433963,6.0,1.1968267562751354
1.15,23,0.7393704493520807,-0.38289761779544695,0.15851527397933546,1.602290998562239,6.798792004701681,350,15,True,True,39.70933797927322,0,4.075087890970866,1.0000000000000515,3.833089693538473,1.0,2.4568974673928077,1.0000000000000002,5.775571655149205,0.6736409649951638,5.679255019688025,0.741920354376539,5.93847798886954,19.0,1.1919821520350804
1.15,24,0.5529360835907546,-0.3466373203731882,0.1934301589986181,1.5088329964783043,5.11562499741558,350,6,True,True,17.49937471743905,0,2.718334492062591,0.9999999999999988,2.6436654160305912,1.0,2.242642953223165,1.0000000000000002,3.745085113494403,0.6638629112174306,3.7132297576914683,0.7146497909218733,2.7468685789048437,8.0,1.1989406623219099
1.15,25,0.6248665060615075,-0.3509913746820007,0.18620909377701872,1.4339999906951562,5.873290996532887,348,5,True,True,17.09508277254372,0,3.234446000016951,0.9999999993664768,3.008470778536958,0.9999999999999999,2.681514779080824,1.0,4.6294445089007334,0.6643860752105608,4.555150627531291,0.7289865396836901,6.9865201483904436,10.0,1.199674345386879
1.15,26,0.7428233897065712,-0.44208200849984325,0.1721728809363507,1.511250011390075,6.058583996491507,347,16,True,True,19.05663334465154,0,3.1972900376535653,1.0000000000071994,2.602186888470926,0.9999999999999999,2.5879941982128543,0.9999999999999999,4.940498765067081,0.6551087512452379,4.843391897717179,0.7164685669481758,18.612735853622315,36.0,1.1996352964401675
1.15,27,0.853302916602459,-0.4893613343933322,0.1550845422177129,1.6498750046594068,5.297208001138642,363,20,True,True,24.61244416871806,0,3.746425661653061,1.000000000011411,3.089034110816371,1.0,2.8243387373561752,0.9999999999999998,6.127481637105671,0.6537244543121508,6.014678069469245,0.7137643848756198,17.547166558394345,56.0,1.1995470181087047
1.15,28,0.7310141465415558,-0.41273861834356873,0.15484594039565486,1.686333998804912,6.045250003808178,351,4,True,True,31.2364065674203,0,4.9636436483035755,0.999999999286595,3.9726347503402244,1.0,3.4131797377615367,1.0000000000000002,7.3582475637574065,0.6697770561700802,7.152493026386597,0.7429994718266603,19.965351426910917,29.0,1.199598316897096
1.15,29,0.7940857259901457,-0.44258547860045583,0.16467070289262326,1.7478329973528162,6.058958999346942,348,15,True,True,20.576662394436898,0,3.5453431572795426,1.0000000000053835,2.8539794465981094,1.0,2.815829865081861,0.9999999999999998,5.623239062377463,0.6557990597506668,5.495843201439665,0.7228913484100524,19.500614750419228,38.0,1.1997639132299422
1.15,30,0.8157905387618628,-0.45298529389988407,0.16335133503306515,1.7657920107012615,5.459415988298133,352,20,True,True,20.621066598167868,0,3.360689472355718,1.0000000000031795,2.813754592941694,0.9999999999999998,2.667679458103629,1.0,5.403532221842637,0.654309337038376,5.297402889623359,0.7188603410503108,16.274484266189674,41.0,1.1997268651187065
1.15,31,0.7361794030454428,-0.42808410899140303,0.17234878019686645,1.5437909896718338,5.227040994213894,347,11,True,True,18.835960052838427,0,3.5952499120248613,1.0000000000210676,3.153856975837525,1.0000000000000002,2.9180500747961498,1.0,5.539476322583232,0.6559836426977478,5.446148368104549,0.7164282937045606,12.277114164192886,37.0,1.1996614893211086
