N,day,n_skus,S_inside,ebar,pi_BN,pi_gamma,pi_MS,pi_uniform,gap_gamma,gap_MS,gap_uniform,iter_gamma,iter_MS,iter_BN,time_gamma,time_MS,time_BN
500,20,339,0.09916356780517276,0.09915418428782734,262826.50801593263,261384.93625160767,262826.50801593263,247350.09415400203,0.5484879646301041,0.0,5.888452416296007,6,126,71,6.504999964818126e-05,0.015225819999614032,0.3236908950002544
500,21,344,0.11926710623626344,0.11925793212641403,338455.44201933895,335618.4126030602,338455.44201933895,321857.22216729564,0.8382283349772987,0.0,4.904107835587679,6,126,39,6.485999983851798e-05,0.015572360000078334,0.17083832299977075
500,22,343,0.13214170390508628,0.13213266390283535,368048.78330902447,364620.46633966663,368048.78330902447,343700.6050075415,0.9314843914262647,0.0,6.615475829746065,7,126,37,7.530000038968865e-05,0.01583643000049051,0.15913326300051267
500,23,350,0.17819234815578677,0.17818378783775338,554472.2056092893,545225.5196547394,554472.2056092895,491429.8400104551,1.6676554498144924,-2.0995700172023998e-14,11.369797252426615,9,126,40,9.612000030756462e-05,0.015970139999808453,0.1804617629995846
500,24,350,0.12413153755611804,0.12412241411637258,359539.4061508032,356481.19642763026,359539.40615080314,340463.86579771736,0.850590970239914,1.6189507997644384e-14,5.305549274085664,6,126,66,6.686999950034078e-05,0.01622618999954284,0.30531184499977826
500,25,348,0.1611095486599377,0.16110081039978336,444440.56118799705,437308.1256952332,444440.56118799705,423842.4615298746,1.6048120076391674,0.0,4.6346129172061605,6,126,90,8.12700000096811e-05,0.01609946000007767,0.41071651699985523
500,26,347,0.16366155224315904,0.16365284056582152,474302.7029427349,464980.1523571848,474302.7029427349,453320.37459932826,1.9655276108927515,0.0,4.423826432618901,7,126,44,7.654999990336364e-05,0.016248860000814602,0.19831456300016725
500,27,363,0.18129641782027645,0.18128788983562844,588256.6196070556,577427.1387033862,588256.6196070556,564157.7020943806,1.8409450132330458,0.0,4.096667459309265,7,127,83,7.634999928995967e-05,0.017431381000278634,0.4013349359993299
500,28,351,0.22342010145516283,0.22341201224974477,706413.8408634026,686660.7880122808,706413.8408634026,672460.014760787,2.796243746722023,0.0,4.806506347768621,7,126,56,7.616999937454239e-05,0.01643904000047769,0.256387383999936
500,29,348,0.18433798943783006,0.18432949313555969,539847.8197054234,527617.4348678383,539847.8197054234,518829.7113445198,2.26552454064904,0.0,3.89333949192802,7,126,78,7.580999954370782e-05,0.016040221000366728,0.3565943849998803
500,30,352,0.1802235346812079,0.18021499552092665,518755.3038935587,508566.56961254484,518755.3038935585,498084.7663850941,1.964073273958163,3.366191756108433e-14,3.984641188884287,7,126,99,7.745000038994476e-05,0.016206431000682642,0.46489114700034406
500,31,347,0.16735935335354105,0.16735068019416263,531806.345396958,522846.58178316965,531806.345396958,510551.85397865815,1.6847793734203056,0.0,3.996659987656734,7,126,91,9.201000011671567e-05,0.016301690000545932,0.4184137269994608
1000,1,591,0.33333333333333337,0.3333267082720516,6.345946278062513e-22,890756.7070313985,957746.2936556211,886826.4486744594,-8.907567070313986e+19,-9.577462936556211e+19,-8.868264486744593e+19,9,128,500,0.00012302999948587967,0.040378949999649194,0.4638727790006669
1000,2,571,0.13142334714644885,0.1314147155861192,,352865.82993667846,356888.5582377211,342560.9922823138,,,,6,127,-1,7.660000028408831e-05,0.03678211999977066,
1000,3,589,0.1557205179421439,0.1557121278371825,449056.17322792,441264.9931381371,449056.17322792,429543.8647275103,1.73501235575454,0.0,4.345182109434262,7,127,417,8.779999916441739e-05,0.03853073000027507,4.132043432000501
1000,4,589,0.15315664470480678,0.1531482291211194,2.057832082953417e-22,412612.27376438485,419521.15915734443,401673.6319844621,-4.1261227376438485e+19,-4.195211591573444e+19,-4.016736319844621e+19,6,127,500,7.561999973404454e-05,0.04021063999971375,0.4686487590006436
1000,5,611,0.17359806815132814,0.17358985570616528,482338.98803639255,473034.4005590349,482338.9880363925,460886.42332851485,1.929055645125585,1.2067790984600157e-14,4.447611584377894,7,127,153,8.82399999682093e-05,0.04253647000041383,1.5898024369998893
1000,6,610,0.15612795516203082,0.15611956910601424,464902.7015746773,457696.4008709053,464902.7015746774,446115.19995595276,1.5500664288169224,-2.5040792714824658e-14,4.041168518722129,7,127,155,0.00010214999929303303,0.0424891500006197,1.608390696999777
1000,7,651,0.2037384849297916,0.20373057200779107,595432.5869893174,580500.9709636212,595432.5869893174,563559.6560664035,2.5076921135934,0.0,5.3529033545296665,7,127,138,8.930000058171572e-05,0.048209229999883974,1.596858296999926
1000,8,672,0.2877599896650071,0.28775291171443335,931583.5871780912,886070.8578703359,931583.5871780912,866844.178433827,4.8855228810567874,0.0,6.949393445237663,8,128,193,0.00010045999988506082,0.04984350999984599,2.3301050250001936
1000,9,652,0.1812101879179958,0.18120205111897286,9.565269733757248,542238.9361901381,552932.0499830829,518799.26118007716,-5668730.584844847,-5780521.6173047805,-5423680.777965497,7,126,500,8.76300000527408e-05,0.04726144999949611,5.77962696800023
1000,10,628,0.09195162428325832,0.09194260046905435,295822.6764638635,294588.0855321154,295822.6764638636,284183.2411676128,0.4173415461268436,-1.9676537853438633e-14,3.934598738468437,6,127,62,7.823999931133585e-05,0.044883479999953124,0.6549639189997833
