floor_mult,day,R_observed,R_target,mu_star_cbn,gamma_star_tuned,m_star_unif,pi_cbn,pi_gamma_tuned,pi_unif_tuned,gap_gamma_pct,gap_unif_pct,cbn_meets_floor,gamma_meets_floor,unif_meets_floor
1.05,23,1293906.4599999997,1358601.7829999998,0.49833865403322997,-0.24437556698004576,0.25532215654364016,470771.75062124565,459073.1184595814,346881.1371192122,2.4849902625266616,26.316492724668247,True,True,True
1.05,24,967883.11,1016277.2655,0.3933110910354292,-0.23842012089784942,0.2651792407580502,306629.7000691413,302599.74072209833,269495.6342311954,1.3142756054401274,12.110394338699944,True,True,True
1.05,25,1202171.0699999998,1262279.6235,0.4325540254244288,-0.2302104540559167,0.2635697342848086,373770.4877580733,362504.0183897138,332698.60349872505,3.014274732052113,10.988530556733643,True,True,True
1.05,26,1254831.8,1317573.3900000001,0.5110448566222314,-0.2858058695907188,0.2598570784573472,385158.17056162574,358512.2127497628,342380.7717720848,6.918185786636336,11.106449780661343,True,True,True
1.05,27,1520320.79,1596336.8295,0.5764605394480349,-0.316358139711079,0.25535577952811467,467539.70768221293,438702.23074978334,407633.83541503386,6.167920383787048,12.813002036587905,True,True,True
1.05,28,1840120.65,1932126.6824999999,0.49152485801071594,-0.2502655874275466,0.2560761590203047,588263.7322179114,544593.7683529995,494771.5782722508,7.423534967941079,15.89289783226483,True,True,True
1.05,29,1427503.02,1498878.171,0.5372348735742907,-0.28086583635177165,0.25814315594213577,434697.9741889413,404253.481250044,386925.14135168,7.003596691634131,10.989890837746778,True,True,True
1.05,30,1363320.3599999999,1431486.378,0.551819840267673,-0.29134224709759,0.25763476697735727,415174.640405237,391066.3401079897,368800.6593850154,5.806785374394751,11.1697527996791,True,True,True
1.05,31,1413420.8399999999,1484091.882,0.5067355773030767,-0.28095433482066395,0.2598266673733803,432488.64025126974,411913.3050110868,385606.6477722711,4.757427901049367,10.84005176454134,True,True,True
1.1,1,2070003.2200000002,2277003.5420000004,0.5778228197473891,-0.3424876008294561,0.1647099704364352,704318.4753333055,447759.91766645736,375045.1860787667,36.426498331658365,46.750625006495305,True,True,True
1.1,2,876209.98,963830.978,0.4006621925717097,-0.23963245121949392,0.23725113764450262,255757.4773624006,248750.4183509915,228670.03500037082,2.7397279186798897,10.591065661649333,True,True,True
1.1,3,1114080.23,1225488.253,0.42820106322338497,-0.22556728313184699,0.23521768662795914,324585.0258066944,310553.95460932615,288256.5165896286,4.322772180416118,11.192293645333208,True,True,True
1.1,4,1029190.1,1132109.11,0.41343610375468004,-0.22164600616664473,0.23693502254512755,299072.5750351197,287570.3016313101,268236.2988339489,3.8459806628738664,10.310633195822033,True,True,True
1.1,5,1117132.6,1228845.86,0.49254799326984267,-0.263799688201336,0.2292631226813678,319427.2464865909,301622.30870569247,281728.95325435227,5.57401974212799,11.80184021459833,True,True,True
1.1,6,1130830.1900000002,1243913.2090000003,0.4725795989778138,-0.2563648427280993,0.23234122620342545,322208.12912794255,308205.12535475736,289012.34295409784,4.345949871309694,10.302591143087923,True,True,True
1.1,7,1358681.94,1494550.134,0.5785522133796872,-0.2960835962850913,0.21762201441752574,397748.42091500334,360424.95022174245,325247.01077718224,9.383687962204812,18.227956749906056,True,True,True
1.1,8,1913487.05,2104835.7550000004,0.786429151524485,-0.3974586476888178,0.17627498892128685,586460.9862828038,419798.25349762494,371029.90009809006,28.418383606648064,36.73408653322224,True,True,True
